sentence,relation,label,entity1,entity2,sentence_without_tags,split
"From the <e1>anger</e1>, <e2>sky</e2> was evolved, from the sky air was evolved, from the air fire was evolved and from the fire water was evolved.",Other,18,anger,sky,"From the anger, sky was evolved, from the sky air was evolved, from the air fire was evolved and from the fire water was evolved.",train
Paul Powell wasn't the only public figure in Illinois to keep <e1>money</e1> in a <e2>shoe box</e2>.,"Content-Container (e1, e2)",4,money,shoe box,Paul Powell wasn't the only public figure in Illinois to keep money in a shoe box.,train
Reporters commented on the <e1>crush</e1> of <e2>candidates</e2> compared to the crowd of supporters.,"Member-Collection (e2, e1)",13,crush,candidates,Reporters commented on the crush of candidates compared to the crowd of supporters.,train
My <e1>flight</e1> arrived at the usual <e2>gate</e2>.,"Entity-Destination (e1, e2)",6,flight,gate,My flight arrived at the usual gate.,train
"The <e1>assassination</e1> resulted in extensive <e2>arrests</e2> of governmental, security, and criminal figures.","Cause-Effect (e1, e2)",0,assassination,arrests,"The assassination resulted in extensive arrests of governmental, security, and criminal figures.",train
"Violin-family string <e1>instrument</e1> <e2>players</e2> are also occasionally instructed to strike the string with the side of the bow, a technique called col legno.","Instrument-Agency (e1, e2)",10,instrument,players,"Violin-family string instrument players are also occasionally instructed to strike the string with the side of the bow, a technique called col legno.",train
"Optic <e1>lobes</e1> of the <e2>brain</e2> are connected to the eyes by the optic nerve, Cranial Nerve 1.","Component-Whole (e1, e2)",2,lobes,brain,"Optic lobes of the brain are connected to the eyes by the optic nerve, Cranial Nerve 1.",train
The <e1>pseudolesion</e1> was caused by <e2>drainage</e2> of the paraumbilical vein.,"Cause-Effect (e2, e1)",1,pseudolesion,drainage,The pseudolesion was caused by drainage of the paraumbilical vein.,train
"From the transistor radio you listened to under the <e1>pillow</e1> of your <e2>bed</e2> to streamcasts on the Net, Fisher covers it all, and extremely well.",Other,18,pillow,bed,"From the transistor radio you listened to under the pillow of your bed to streamcasts on the Net, Fisher covers it all, and extremely well.",train
A <e1>flush</e1> of <e2>mallards</e2> splash and forage in melt-water on the parkland turf.,"Member-Collection (e2, e1)",13,flush,mallards,A flush of mallards splash and forage in melt-water on the parkland turf.,train
Sometimes the best <e1>blogging</e1> is going on well away from the most visible <e2>places</e2>.,Other,18,blogging,places,Sometimes the best blogging is going on well away from the most visible places.,train
Two children playing in a Queens park have found a <e1>suitcase</e1> with <e2>bones</e2> in it.,"Content-Container (e2, e1)",5,suitcase,bones,Two children playing in a Queens park have found a suitcase with bones in it.,train
Putting a first time learner in the <e1>driver</e1>'s seat of a <e2>car</e2> is a scary proposition.,"Instrument-Agency (e2, e1)",11,driver,car,Putting a first time learner in the driver's seat of a car is a scary proposition.,train
"<e1>Contractors</e1> quickly generate documents that are shared via fax, email, or text message, by using <e2>templates</e2>.","Instrument-Agency (e2, e1)",11,Contractors,templates,"Contractors quickly generate documents that are shared via fax, email, or text message, by using templates.",train
A 24-year-old <e1>undergraduate</e1> from Nigeria is building helicopters out of old car and bike <e2>parts</e2>.,"Instrument-Agency (e2, e1)",11,undergraduate,parts,A 24-year-old undergraduate from Nigeria is building helicopters out of old car and bike parts.,train
"That's right boys and girls you read that correctly, you just shared a <e1>printer</e1> over the <e2>internet</e2>.",Other,18,printer,internet,"That's right boys and girls you read that correctly, you just shared a printer over the internet.",train
"The <e1>riot</e1> resulted in the <e2>deaths</e2> of 196 people, and led to a major reform in the country's economic policy favouring the Malays.","Cause-Effect (e1, e2)",0,riot,deaths,"The riot resulted in the deaths of 196 people, and led to a major reform in the country's economic policy favouring the Malays.",train
"When a murder of crows and a <e1>tittering</e1> of <e2>magpies</e2> get into a turf war over Susie Wu's eucalyptus, the real winner is Susie's cat, Mittens.","Member-Collection (e2, e1)",13,tittering,magpies,"When a murder of crows and a tittering of magpies get into a turf war over Susie Wu's eucalyptus, the real winner is Susie's cat, Mittens.",train
Three poor seal <e1>pups</e1> rescued from the Yorkshire coast were released back into the <e2>wild</e2> at Seal Sands on Teesside.,"Entity-Destination (e1, e2)",6,pups,wild,Three poor seal pups rescued from the Yorkshire coast were released back into the wild at Seal Sands on Teesside.,train
"The NRMA's president, Wendy Machin, and the chief executive, Tony Stuart, were among members of the <e1>party</e1> which viewed the concert in a private <e2>box</e2>.",Other,18,party,box,"The NRMA's president, Wendy Machin, and the chief executive, Tony Stuart, were among members of the party which viewed the concert in a private box.",train
This book largely seeks to refute the <e1>claims</e1> made by his contemporary John Locke about the <e2>nature</e2> of human perception.,"Message-Topic (e1, e2)",14,claims,nature,This book largely seeks to refute the claims made by his contemporary John Locke about the nature of human perception.,train
The first <e1>board</e1> was comprised of the county <e2>judge</e2> and the five district court judges of Bexar County.,"Member-Collection (e2, e1)",13,board,judge,The first board was comprised of the county judge and the five district court judges of Bexar County.,train
"The <e1>evidence</e1> was in a <e2>box</e2> in his patrol car, and started walking back toward it.","Content-Container (e1, e2)",4,evidence,box,"The evidence was in a box in his patrol car, and started walking back toward it.",train
The <e1>urine</e1> output of the normal <e2>adults</e2> was 1350ml.,"Product-Producer (e1, e2)",16,urine,adults,The urine output of the normal adults was 1350ml.,train
The most suitable <e1>callus</e1> to establish suspension cell cultures was obtained from <e2>seeds</e2>.,"Entity-Origin (e1, e2)",8,callus,seeds,The most suitable callus to establish suspension cell cultures was obtained from seeds.,train
"In America, generations of Portuguese <e1>immigrants</e1> from the <e2>mainland</e2>, Azores and Madeira have brought their often-simple but diverse and always tasty cuisine.","Entity-Origin (e1, e2)",8,immigrants,mainland,"In America, generations of Portuguese immigrants from the mainland, Azores and Madeira have brought their often-simple but diverse and always tasty cuisine.",train
Ford's Dagenham <e1>workers</e1> still produced more <e2>cars</e2> for less pay than any other plant in Europe in the 1960s.,"Product-Producer (e2, e1)",17,workers,cars,Ford's Dagenham workers still produced more cars for less pay than any other plant in Europe in the 1960s.,train
The <e1>kitchen</e1> contained a <e2>well</e2> at the northern end and a well and two holding areas for live fish on the southern end.,"Component-Whole (e2, e1)",3,kitchen,well,The kitchen contained a well at the northern end and a well and two holding areas for live fish on the southern end.,train
The <e1>building</e1> contained a significant amount of <e2>furniture</e2> and equipment.,"Content-Container (e2, e1)",5,building,furniture,The building contained a significant amount of furniture and equipment.,train
"The <e1>envelope</e1> contained a single <e2>sheet</e2> of paper, describing an attempt to set the record for the world's longest running chain letter.","Content-Container (e2, e1)",5,envelope,sheet,"The envelope contained a single sheet of paper, describing an attempt to set the record for the world's longest running chain letter.",train
"I really got into using baking <e1>soda</e1> for <e2>cleaning</e2>, so I buy it in bulk.",Other,18,soda,cleaning,"I really got into using baking soda for cleaning, so I buy it in bulk.",train
"<e1>Treatment</e1> consists of antifungal <e2>therapy</e2>, surgery, and supportive care.","Component-Whole (e2, e1)",3,Treatment,therapy,"Treatment consists of antifungal therapy, surgery, and supportive care.",train
The <e1>survey</e1> documents children's <e2>opinions</e2> on a wide range of social issues.,"Message-Topic (e1, e2)",14,survey,opinions,The survey documents children's opinions on a wide range of social issues.,train
Landrieu where he saw firsthand the <e1>destruction</e1> caused by the <e2>hurricanes</e2> and the failure of the storm protection system.,"Cause-Effect (e2, e1)",1,destruction,hurricanes,Landrieu where he saw firsthand the destruction caused by the hurricanes and the failure of the storm protection system.,train
That <e1>decision</e1> was also the subject of an unsuccessful <e2>legal challenge</e2>.,Other,18,decision,legal challenge,That decision was also the subject of an unsuccessful legal challenge.,train
"The <e1>fluctuations</e1> are caused by state and federal <e2>taxes</e2>, distance from refineries to filling stations and environmental laws.","Cause-Effect (e2, e1)",1,fluctuations,taxes,"The fluctuations are caused by state and federal taxes, distance from refineries to filling stations and environmental laws.",train
We have poured <e1>billions</e1> into airline <e2>safety</e2>.,"Entity-Destination (e1, e2)",6,billions,safety,We have poured billions into airline safety.,train
<e1>Quotation</e1> is used to indicate the <e2>words</e2> of another speaker or writer.,Other,18,Quotation,words,Quotation is used to indicate the words of another speaker or writer.,train
<e1>Backpackers</e1> are travelling to several <e2>countries</e2> in a short period of time.,"Entity-Destination (e1, e2)",6,Backpackers,countries,Backpackers are travelling to several countries in a short period of time.,train
The <e1>tiller</e1> of the <e2>stonebow</e2> is curved downward between the latch and the prod.,"Component-Whole (e1, e2)",2,tiller,stonebow,The tiller of the stonebow is curved downward between the latch and the prod.,train
"And we do recommend excersise, as the <e1>kitchen</e1> holds <e2>culinary temptations</e2> in store for you that are bound to prolong your evening and lift your spirit.",Other,18,kitchen,culinary temptations,"And we do recommend excersise, as the kitchen holds culinary temptations in store for you that are bound to prolong your evening and lift your spirit.",train
Two <e1>universities</e1> entered in <e2>collaboration</e2> focusing on development of plant biotechnology.,Other,18,universities,collaboration,Two universities entered in collaboration focusing on development of plant biotechnology.,train
The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.,"Content-Container (e1, e2)",4,transmitter,suite,The transmitter was discovered inside a bed settee suite on which he had been sitting.,train
The <e1>bears</e1> have gone into <e2>hibernation</e2>.,Other,18,bears,hibernation,The bears have gone into hibernation.,train
"But among the heroin addicts especially, there is frequently a very severe depression, and <e1>depression</e1> is one of the main causes of <e2>suicide</e2>.","Cause-Effect (e1, e2)",0,depression,suicide,"But among the heroin addicts especially, there is frequently a very severe depression, and depression is one of the main causes of suicide.",train
"In the next step, the chef added <e1>sugar</e1> into the <e2>mix</e2>.","Entity-Destination (e1, e2)",6,sugar,mix,"In the next step, the chef added sugar into the mix.",train
One approach is to have an <e1>ensemble</e1> of <e2>decision trees</e2> with each data site contributing its own local decision tree to the ensemble.,"Member-Collection (e2, e1)",13,ensemble,decision trees,One approach is to have an ensemble of decision trees with each data site contributing its own local decision tree to the ensemble.,train
Snails and <e1>slugs</e1> cause <e2>holes</e2> in the leaves of young plants and can chew right through the stems of newly planted seedlings.,"Product-Producer (e2, e1)",17,slugs,holes,Snails and slugs cause holes in the leaves of young plants and can chew right through the stems of newly planted seedlings.,train
A large <e1>diagram</e1> illustrated the <e2>principle</e2> of this apparatus.,"Message-Topic (e1, e2)",14,diagram,principle,A large diagram illustrated the principle of this apparatus.,train
<e1>Polonium</e1> is distilled from <e2>bismuth</e2> under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot.,"Entity-Origin (e1, e2)",8,Polonium,bismuth,Polonium is distilled from bismuth under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot.,train
The economic <e1>setbacks</e1> of 1893 had created <e2>unemployment</e2> and poverty which caused migration in search of new opportunities.,"Cause-Effect (e1, e2)",0,setbacks,unemployment,The economic setbacks of 1893 had created unemployment and poverty which caused migration in search of new opportunities.,train
"The <e1>hinge</e1> caused a <e2>crack</e2> on the left side of my kindle, and Amazon has been horrible about helping with this issue.","Cause-Effect (e1, e2)",0,hinge,crack,"The hinge caused a crack on the left side of my kindle, and Amazon has been horrible about helping with this issue.",train
Cordgo has developed a nifty little headphone winder to prevent your <e1>headphone</e1> <e2>cords</e2> from tangling as you as you move about during the day.,"Component-Whole (e2, e1)",3,headphone,cords,Cordgo has developed a nifty little headphone winder to prevent your headphone cords from tangling as you as you move about during the day.,train
It removes the <e1>hair</e1> to the precise contour of a perfectly shaped <e2>eyebrow</e2>.,"Entity-Origin (e1, e2)",8,hair,eyebrow,It removes the hair to the precise contour of a perfectly shaped eyebrow.,train
The <e1>psychiatrist</e1> killed him with the <e2>drugs</e2> she gave him.,"Instrument-Agency (e2, e1)",11,psychiatrist,drugs,The psychiatrist killed him with the drugs she gave him.,train
"The <e1>explosion</e1> caused a <e2>gas leak</e2> on the pipeline near the village of Pouce Coupe, south of Dawson Creek.","Cause-Effect (e1, e2)",0,explosion,gas leak,"The explosion caused a gas leak on the pipeline near the village of Pouce Coupe, south of Dawson Creek.",train
<e1>Metals</e1> were released into the <e2>environment</e2>.,"Entity-Destination (e1, e2)",6,Metals,environment,Metals were released into the environment.,train
"The <e1>bomb</e1> was hidden in a <e2>handcart</e2> near the Mar Toma Church, also known as Church of St. Thomas, in the city of Mosul.","Content-Container (e1, e2)",4,bomb,handcart,"The bomb was hidden in a handcart near the Mar Toma Church, also known as Church of St. Thomas, in the city of Mosul.",train
"The <e1>inflammation</e1> is caused by the <e2>growth</e2> of unusual bacteria, which usually results from antibiotic use.","Cause-Effect (e2, e1)",1,inflammation,growth,"The inflammation is caused by the growth of unusual bacteria, which usually results from antibiotic use.",train
NINE-year-old Chloe Clark joined a <e1>ballet</e1> <e2>company</e2> on stage last Monday.,"Product-Producer (e1, e2)",16,ballet,company,NINE-year-old Chloe Clark joined a ballet company on stage last Monday.,train
"He carried with him an old wicker <e1>basket</e1> containing stale <e2>biscuits</e2>, some cured ham, and a bottle full of goat's milk.","Content-Container (e2, e1)",5,basket,biscuits,"He carried with him an old wicker basket containing stale biscuits, some cured ham, and a bottle full of goat's milk.",train
"I've got the <e1>world</e1> in a <e2>jug</e2>, the stopper's in my hand.","Content-Container (e1, e2)",4,world,jug,"I've got the world in a jug, the stopper's in my hand.",train
A <e1>textile</e1> <e2>mill</e2> is a factory for making textiles.,"Product-Producer (e1, e2)",16,textile,mill,A textile mill is a factory for making textiles.,train
The ambitious Eurasia <e1>exhibition</e1> arose from an <e2>idea</e2> by Achille Bonito Oliva.,"Entity-Origin (e1, e2)",8,exhibition,idea,The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.,train
"The fins extend beyond the <e1>hull</e1> of the <e2>vessel</e2> below the waterline, and alter their angle of attack depending upon heel angle of the vessel.","Component-Whole (e1, e2)",2,hull,vessel,"The fins extend beyond the hull of the vessel below the waterline, and alter their angle of attack depending upon heel angle of the vessel.",train
"Executive authority is invested in the prime minister, who is the <e1>leader</e1> of the <e2>political party</e2> commanding a majority in the House.","Member-Collection (e1, e2)",12,leader,political party,"Executive authority is invested in the prime minister, who is the leader of the political party commanding a majority in the House.",train
It consists of an <e1>ensemble</e1> of <e2>ladies</e2> who are highly qualified to play various Arabic musical instruments.,"Member-Collection (e2, e1)",13,ensemble,ladies,It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.,train
"The <e1>boy</e1> runs away from the <e2>school</e2> when he sees his father's insensitivity, but the teacher and his other friends bring him back.","Entity-Origin (e1, e2)",8,boy,school,"The boy runs away from the school when he sees his father's insensitivity, but the teacher and his other friends bring him back.",train
We estimate a wind speed associated with the <e1>devastation</e1> caused by the <e2>tornado</e2>.,"Cause-Effect (e2, e1)",1,devastation,tornado,We estimate a wind speed associated with the devastation caused by the tornado.,train
"The <e1>series</e1> comprises some re-issues of the previous books, as well as new <e2>titles</e2>.","Component-Whole (e2, e1)",3,series,titles,"The series comprises some re-issues of the previous books, as well as new titles.",train
"The studio picked up the sci-fi action <e1>spec</e1> by tyro <e2>scribe</e2> Chad St. John, and set up the project with Gianni Nunnari (300) at his Hollywood Gang shingle.","Product-Producer (e1, e2)",16,spec,scribe,"The studio picked up the sci-fi action spec by tyro scribe Chad St. John, and set up the project with Gianni Nunnari (300) at his Hollywood Gang shingle.",train
The hotel released <e1>effluent</e1> into the <e2>lake</e2>.,"Entity-Destination (e1, e2)",6,effluent,lake,The hotel released effluent into the lake.,train
"In psychology, Eysenck Personality Questionnaire (EPQ) is a <e1>questionnaire</e1> to assess the personality <e2>traits</e2> of a person.",Other,18,questionnaire,traits,"In psychology, Eysenck Personality Questionnaire (EPQ) is a questionnaire to assess the personality traits of a person.",train
The <e1>glass bottle</e1> was contained in a <e2>wire mesh basket</e2> in case of explosion.,"Content-Container (e1, e2)",4,glass bottle,wire mesh basket,The glass bottle was contained in a wire mesh basket in case of explosion.,train
The Islamist <e1>group</e1> which provoked outrage with its <e2>plan</e2> to march through Wootton Bassett was banned.,"Product-Producer (e2, e1)",17,group,plan,The Islamist group which provoked outrage with its plan to march through Wootton Bassett was banned.,train
"In the autumnal season, a <e1>phalanx</e1> of <e2>storks</e2>, herons, or swans, mounts into the heavens, like an ascending pyramid, to migrate from the frigid to the torrid zone.","Member-Collection (e2, e1)",13,phalanx,storks,"In the autumnal season, a phalanx of storks, herons, or swans, mounts into the heavens, like an ascending pyramid, to migrate from the frigid to the torrid zone.",train
"Each year, many infants and toddlers die due to <e1>suffocation</e1> from <e2>breathing</e2> small objects into their breathing passages and lungs.","Cause-Effect (e2, e1)",1,suffocation,breathing,"Each year, many infants and toddlers die due to suffocation from breathing small objects into their breathing passages and lungs.",train
"We cleaned the <e1>coffee</e1> <e2>maker</e2>, repeating this step again with a fresh vinegar and water mixture.","Product-Producer (e1, e2)",16,coffee,maker,"We cleaned the coffee maker, repeating this step again with a fresh vinegar and water mixture.",train
A magnetic bracelet helps the <e1>pain</e1> from <e2>stroke</e2> in your arm.,"Cause-Effect (e2, e1)",1,pain,stroke,A magnetic bracelet helps the pain from stroke in your arm.,train
The <e1>locker</e1> contained a big fluffy <e2>robe</e2> for me to change into.,"Content-Container (e2, e1)",5,locker,robe,The locker contained a big fluffy robe for me to change into.,train
"That looked like an equally impenetrable city <e1>jungle</e1> of <e2>wagons</e2>, horses, small tents, and humanity.","Member-Collection (e2, e1)",13,jungle,wagons,"That looked like an equally impenetrable city jungle of wagons, horses, small tents, and humanity.",train
These <e1>loans</e1> are travelling into <e2>foreclosure</e2> significantly slower than conventional loans.,Other,18,loans,foreclosure,These loans are travelling into foreclosure significantly slower than conventional loans.,train
"Beyond its guardtowers, the <e1>castle</e1> had two <e2>gatehouses</e2>, a barbican and a tall tower in the castle's inner ward.","Component-Whole (e2, e1)",3,castle,gatehouses,"Beyond its guardtowers, the castle had two gatehouses, a barbican and a tall tower in the castle's inner ward.",train
"Along with the terracotta army, comes a <e1>shuffle</e1> of terracotta <e2>bureaucrats</e2>: identified by the knives hanging from their belts, which would have been used to correct mistakes written on strips of bamboo.","Member-Collection (e2, e1)",13,shuffle,bureaucrats,"Along with the terracotta army, comes a shuffle of terracotta bureaucrats: identified by the knives hanging from their belts, which would have been used to correct mistakes written on strips of bamboo.",train
The following good <e1>practices</e1> were pointed out during the <e2>interviews</e2>.,"Message-Topic (e2, e1)",15,practices,interviews,The following good practices were pointed out during the interviews.,train
The report is about the regular <e1>road</e1> <e2>user</e2> and the law.,"Instrument-Agency (e1, e2)",10,road,user,The report is about the regular road user and the law.,train
The associated extra <e1>output</e1> of CO2 through the lungs acts as one of the principal buffering mechanisms of the <e2>body</e2>.,"Product-Producer (e1, e2)",16,output,body,The associated extra output of CO2 through the lungs acts as one of the principal buffering mechanisms of the body.,train
The deeper <e1>currents</e1> are caused by <e2>heat</e2> from the sun.,"Cause-Effect (e2, e1)",1,currents,heat,The deeper currents are caused by heat from the sun.,train
"While public <e1>drinking</e1> <e2>regulations</e2> varied, some form of the beer parlour became the norm across the country.",Other,18,drinking,regulations,"While public drinking regulations varied, some form of the beer parlour became the norm across the country.",train
"In addition, scientists maye have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOX5 mediated <e1>overproduction</e1> of hydrogen peroxide is responsible for increased <e2>growth</e2> and decreased death of cancer cells.","Cause-Effect (e1, e2)",0,overproduction,growth,"In addition, scientists maye have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOX5 mediated overproduction of hydrogen peroxide is responsible for increased growth and decreased death of cancer cells.",train
"In the film, Howell plays a cop who gets involved with a murder witness, only to find out that she's part of an international <e1>ring</e1> of sex-for-hire <e2>beauties</e2>.","Member-Collection (e2, e1)",13,ring,beauties,"In the film, Howell plays a cop who gets involved with a murder witness, only to find out that she's part of an international ring of sex-for-hire beauties.",train
"Lake Oswego was home to a <e1>sord</e1> of <e2>mallards</e2> who fled south during January and February, and returned in March for breeding.","Member-Collection (e2, e1)",13,sord,mallards,"Lake Oswego was home to a sord of mallards who fled south during January and February, and returned in March for breeding.",train
A violent <e1>criminal</e1> who absconded from an open <e2>prison</e2> less than a third of the way through his sentence was recaptured today.,"Entity-Origin (e1, e2)",8,criminal,prison,A violent criminal who absconded from an open prison less than a third of the way through his sentence was recaptured today.,train
"To test this, we placed a kitchen <e1>match</e1> in the <e2>jar</e2> instead of the candle, lit the match, screwed on the lid and dropped the jar.","Entity-Destination (e1, e2)",6,match,jar,"To test this, we placed a kitchen match in the jar instead of the candle, lit the match, screwed on the lid and dropped the jar.",train
"In the same way, a <e1>society</e1> is built up of many <e2>individuals</e2>.","Member-Collection (e2, e1)",13,society,individuals,"In the same way, a society is built up of many individuals.",train
An agenda of deeper reforms can boost public confidence even as it undoes a lot of the <e1>distress</e1> caused by the financiers and <e2>bankers</e2>.,"Cause-Effect (e2, e1)",1,distress,bankers,An agenda of deeper reforms can boost public confidence even as it undoes a lot of the distress caused by the financiers and bankers.,train
The <e1>kitchen</e1> contained primarily <e2>drug paraphernalia</e2>.,Other,18,kitchen,drug paraphernalia,The kitchen contained primarily drug paraphernalia.,train
"Dianetics appealed to a broad range of <e1>people</e1> who used <e2>instructions</e2> from the book and applied the method to each other, becoming practitioners themselves.","Instrument-Agency (e2, e1)",11,people,instructions,"Dianetics appealed to a broad range of people who used instructions from the book and applied the method to each other, becoming practitioners themselves.",train
Many of the 550 <e1>deaths</e1> are directly and intentionally caused by the <e2>physician</e2> but not reported as euthanasia because they lacked consent.,"Cause-Effect (e2, e1)",1,deaths,physician,Many of the 550 deaths are directly and intentionally caused by the physician but not reported as euthanasia because they lacked consent.,train
"The ultimate D.C.-related work on this topic, in recent decades, anyway, may be Jerzy Kosinski's satirical Being There, the inspiration for a Peter Sellers <e1>film</e1> by the same <e2>name</e2>.",Other,18,film,name,"The ultimate D.C.-related work on this topic, in recent decades, anyway, may be Jerzy Kosinski's satirical Being There, the inspiration for a Peter Sellers film by the same name.",train
The man poured <e1>water</e1> into the <e2>seeds</e2>.,"Entity-Destination (e1, e2)",6,water,seeds,The man poured water into the seeds.,train
Scientists have injected human <e1>cells</e1> into lab <e2>animals</e2>.,"Entity-Destination (e1, e2)",6,cells,animals,Scientists have injected human cells into lab animals.,train
The <e1>bomb</e1> was hidden in the <e2>gas tank</e2> of a motorcycle.,"Content-Container (e1, e2)",4,bomb,gas tank,The bomb was hidden in the gas tank of a motorcycle.,train
DOD/USAF/AFRCC initiated Federal SAR response activities for <e1>incidents</e1> that result in aeronautical <e2>distress</e2>.,"Cause-Effect (e1, e2)",0,incidents,distress,DOD/USAF/AFRCC initiated Federal SAR response activities for incidents that result in aeronautical distress.,train
"A number of <e1>papers</e1> have emanated from this <e2>laboratory</e2> on the chemistry of dl-pinonic acid(I,) and dl-pinolic acid(II.A).","Entity-Origin (e1, e2)",8,papers,laboratory,"A number of papers have emanated from this laboratory on the chemistry of dl-pinonic acid(I,) and dl-pinolic acid(II.A).",train
The <e1>panel</e1> considers the <e2>impact</e2> of the exhibition.,"Message-Topic (e1, e2)",14,panel,impact,The panel considers the impact of the exhibition.,train
"The <e1>fuel</e1> or energy that the <e2>body</e2> uses, comes from the food and drink that we consume in our diet.","Instrument-Agency (e1, e2)",10,fuel,body,"The fuel or energy that the body uses, comes from the food and drink that we consume in our diet.",train
A <e1>panda</e1> moved into the suburban Darwin <e2>park</e2>.,"Entity-Destination (e1, e2)",6,panda,park,A panda moved into the suburban Darwin park.,train
"The <e1>debris</e1> caused a <e2>crash</e2> on the Schuylkill, and it has been closed for hours because of the mishap.","Cause-Effect (e1, e2)",0,debris,crash,"The debris caused a crash on the Schuylkill, and it has been closed for hours because of the mishap.",train
This <e1>book</e1> approaches <e2>painting</e2> in a traditional manner with an extreme sensitivity to light and texture.,"Message-Topic (e1, e2)",14,book,painting,This book approaches painting in a traditional manner with an extreme sensitivity to light and texture.,train
CENT's hotly anticipated new <e1>album</e1> has been leaked on to the <e2>public</e2>.,Other,18,album,public,CENT's hotly anticipated new album has been leaked on to the public.,train
The <e1>charger</e1> was in a <e2>suitcase</e2> that was (and still is!) lost by the airline.,"Content-Container (e1, e2)",4,charger,suitcase,The charger was in a suitcase that was (and still is!) lost by the airline.,train
Buy Owner is a brick and <e1>mortar</e1> <e2>company</e2> with a long term knowledgeable staff dedicated to providing your property with the maximum amount of exposure.,"Product-Producer (e1, e2)",16,mortar,company,Buy Owner is a brick and mortar company with a long term knowledgeable staff dedicated to providing your property with the maximum amount of exposure.,train
"The recovery is weak and fragile, and the economic and social <e1>damage</e1> caused by the <e2>crisis</e2> is long-lasting.","Cause-Effect (e2, e1)",1,damage,crisis,"The recovery is weak and fragile, and the economic and social damage caused by the crisis is long-lasting.",train
A <e1>gunman</e1> pumped a bullet into his right <e2>leg</e2> and fled his Northwest Side convenience store with several hundred dollars.,Other,18,gunman,leg,A gunman pumped a bullet into his right leg and fled his Northwest Side convenience store with several hundred dollars.,train
"To stand up to the wind, <e1>umbrella</e1> <e2>frames</e2> are strong yet flexible.","Component-Whole (e2, e1)",3,umbrella,frames,"To stand up to the wind, umbrella frames are strong yet flexible.",train
"The purpose of the <e1>chapter</e1> is to create a picture of <e2>palliative care</e2> today by presenting its definition, history, philosophy. objectives, and standards of care.","Message-Topic (e1, e2)",14,chapter,palliative care,"The purpose of the chapter is to create a picture of palliative care today by presenting its definition, history, philosophy. objectives, and standards of care.",train
The following <e1>table</e1> indicates the <e2>party</e2> of elected officials in the U.S. state of California.,"Message-Topic (e1, e2)",14,table,party,The following table indicates the party of elected officials in the U.S. state of California.,train
Abu'l-Qasim's Treastie is a <e1>text</e1> from 1301 by an Iranian <e2>potter</e2> who describes numerous recepies.,"Product-Producer (e1, e2)",16,text,potter,Abu'l-Qasim's Treastie is a text from 1301 by an Iranian potter who describes numerous recepies.,train
"In addition to the landscape display, the <e1>students</e1> have assembled a window <e2>display</e2> with the assistance of Fortuna Energy Inc.","Product-Producer (e2, e1)",17,students,display,"In addition to the landscape display, the students have assembled a window display with the assistance of Fortuna Energy Inc.",train
The second <e1>clause</e1> tells of the <e2>pension</e2> that is the equal of one service-fraction of final compensation.,"Message-Topic (e1, e2)",14,clause,pension,The second clause tells of the pension that is the equal of one service-fraction of final compensation.,train
My grandfather's backyard is an absolute <e1>jungle</e1> of old wrecked <e2>cars</e2>.,"Member-Collection (e2, e1)",13,jungle,cars,My grandfather's backyard is an absolute jungle of old wrecked cars.,train
"Occasionally, a dream proffers no solution but portrays only the <e1>anxiety</e1> which is generated by the <e2>conflict</e2>.","Cause-Effect (e2, e1)",1,anxiety,conflict,"Occasionally, a dream proffers no solution but portrays only the anxiety which is generated by the conflict.",train
Our <e1>preview</e1> below highlights some of the <e2>features</e2> from lesser known artists.,"Message-Topic (e1, e2)",14,preview,features,Our preview below highlights some of the features from lesser known artists.,train
British <e1>scientists</e1> have created human <e2>sperm</e2> using stem cells in a medical first that could revolutionise fertility treatment.,"Product-Producer (e2, e1)",17,scientists,sperm,British scientists have created human sperm using stem cells in a medical first that could revolutionise fertility treatment.,train
His big slouch hat even was cocked jauntily over the <e1>bed</e1> <e2>post</e2>.,"Component-Whole (e2, e1)",3,bed,post,His big slouch hat even was cocked jauntily over the bed post.,train
"Brazilian campaign laws include several <e1>restrictions</e1> on political <e2>speech</e2> that can seem arcane to outsiders, and even to some Brazilians.",Other,18,restrictions,speech,"Brazilian campaign laws include several restrictions on political speech that can seem arcane to outsiders, and even to some Brazilians.",train
Two other structures in the depth of the <e1>midbrain</e1> that are important for normal motor function are the red <e2>nucleus</e2> (not visible) and the substantia nigra.,"Component-Whole (e2, e1)",3,midbrain,nucleus,Two other structures in the depth of the midbrain that are important for normal motor function are the red nucleus (not visible) and the substantia nigra.,train
<e1>Poverty</e1> is caused by <e2>overpopulation</e2>.,"Cause-Effect (e2, e1)",1,Poverty,overpopulation,Poverty is caused by overpopulation.,train
This teaches that the <e1>body</e1> is procreated by the <e2>parents</e2> and the soul and spirit are directly created by God and placed in the body.,"Product-Producer (e1, e2)",16,body,parents,This teaches that the body is procreated by the parents and the soul and spirit are directly created by God and placed in the body.,train
